ID,Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,,,
68,177000,1985,3,1,0,2,0,1948,3,69975,,,
69,585000,2558,2,4,1,3,1,1984,1,24601,,,
70,549900,4000,6,5,1,3,1,1979,1,23595,,,
71,675000,3942,4,3,1,2,0,1990,1,18920,,,
72,830000,3889,4,4,1,3,0,1991,1,28378,,,
73,920000,3857,4,5,1,3,0,1997,1,32793,,,
74,855000,4756,4,4,1,3,0,1990,1,22215,,,
75,585500,3302,4,3,1,3,0,1982,1,26463,,,
76,399000,2629,3,3,1,2,0,1989,1,24778,,,
77,790000,4418,5,5,1,3,0,1997,1,22024,,,
78,665000,4746,4,4,1,3,0,1996,1,23368,,,
79,725000,3242,3,3,1,3,0,1989,1,27173,,,
80,647000,2464,3,3,1,3,0,1992,1,31703,,,
81,780000,4419,4,5,1,7,0,1987,1,56127,,,
82,657500,3877,3,3,1,3,0,1992,1,24639,,,
83,578000,3808,5,4,1,3,0,1982,1,23324,,,
84,500000,3376,5,4,1,2,0,1947,1,18452,,,
85,484530,2940,3,3,1,3,1,1979,1,20639,,,
86,609000,2654,5,3,1,3,0,1997,1,12821,,,
87,635000,2672,4,3,1,3,0,1995,1,28049,,,
88,519000,3386,4,4,1,3,0,1994,1,24008,,,
89,625100,3648,4,4,1,3,0,1992,1,26604,,,
90,585444,3455,4,5,1,3,0,1995,1,22468,,,
91,399900,3321,3,4,1,3,1,1971,1,15012,,,
92,389900,2817,4,3,1,3,0,1996,1,31214,,,
93,649000,3210,3,5,1,3,0,1995,1,30033,,,
94,535000,3588,4,5,1,3,0,1987,1,22530,,,
95,640000,2705,3,3,1,3,0,1994,1,22196,,,
96,600000,2344,4,3,1,2,0,1925,1,86004,,,
97,582500,4264,5,4,1,4,0,1995,1,24983,,,
98,545000,2615,3,3,1,3,0,1996,1,21722,,,
99,480000,3608,6,4,1,3,0,1981,1,25219,,,
100,595000,2479,4,4,1,3,0,1989,1,29805,,,
101,610000,3251,3,4,1,3,1,1985,1,25570,,,
102,570000,2547,2,3,1,3,0,1996,1,21789,,,
103,479000,5032,7,3,1,3,0,1989,1,22000,,,
104,545000,4973,6,6,1,3,1,1987,1,56139,,,
105,335000,2582,4,3,1,2,0,1966,1,23256,,,
106,629000,3139,6,4,1,2,1,1977,1,21810,,,
107,505500,3516,4,4,1,3,0,1979,1,19867,,,
108,528750,2129,0,0,1,3,0,1992,1,37414,,,
109,370000,2936,4,4,1,3,0,1987,1,16437,,,
110,529000,3351,5,4,1,3,0,1994,1,24216,,,
111,490000,3136,4,4,1,3,0,1989,1,27158,,,
112,535000,3525,4,5,1,3,0,1996,1,27501,,,
113,612000,3917,6,5,1,3,0,1995,1,37972,,,
114,442500,2702,4,3,1,3,0,1991,1,39643,,,
115,500000,3644,3,4,1,3,0,1984,1,21895,,,
116,539000,3072,4,4,1,3,0,1992,1,25158,,,
117,545500,3233,4,4,1,3,0,1991,1,22961,,,
118,424000,2918,4,4,1,3,0,1988,1,22003,,,
119,325000,3266,4,3,1,3,0,1985,1,16640,,,
120,367000,2940,4,7,1,2,0,1988,1,22003,,,
121,470000,3430,3,4,1,2,1,1966,1,25018,,,
122,393000,2472,4,4,1,3,0,1987,1,21784,,,
123,530000,2878,4,4,1,3,0,1992,1,68351,,,
124,400000,2537,3,3,1,2,0,1993,1,11053,,,
125,403500,3858,4,4,1,3,0,1987,1,22224,,,
126,550000,2742,3,3,1,3,0,1991,1,22306,,,
127,380000,3460,5,4,1,2,0,1972,1,18571,,,
128,500000,3836,5,4,1,3,0,1982,1,48465,,,
129,465000,4453,7,5,1,2,0,1974,1,15595,,,
130,451500,4080,5,4,1,3,0,1983,1,22134,,,
131,336000,3301,3,4,1,2,0,1977,1,18741,,,
132,550000,3828,4,5,1,2,1,1975,1,17051,,,
133,450000,2973,4,3,1,2,0,1980,2,21999,,,
134,440000,2821,5,4,1,2,1,1962,2,32914,,,
135,515000,2950,5,3,1,2,0,1969,2,21598,,,
136,415000,2362,3,3,1,2,0,1977,2,21604,,,
137,380000,3092,3,4,1,2,0,1978,2,20081,,,
138,489500,2866,4,4,0,2,0,1982,2,22424,,,
139,478000,3369,5,4,1,3,0,1981,2,21161,,,
140,460000,3068,4,4,1,3,0,1988,2,18289,,,
141,379900,2380,3,3,1,3,0,1998,2,21999,,,
142,390000,2225,2,3,1,3,0,1997,2,38722,,,
143,338000,2655,3,3,1,2,0,1948,2,21960,,,
144,675000,3855,4,4,1,3,0,1996,2,35845,,,
145,440000,2892,4,4,1,2,0,1977,2,35839,,,
146,500000,3832,4,3,1,2,0,1952,2,28722,,,
147,470000,3164,6,4,1,2,0,1982,2,20505,,,
148,317500,2620,3,2,1,3,0,1925,2,12266,,,
149,430000,3076,6,4,1,3,0,1984,2,26648,,,
150,430000,4022,6,4,1,3,0,1986,2,18429,,,
151,475000,3377,4,3,1,3,0,1997,2,22495,,,
152,389000,2858,5,4,1,1,0,1989,2,23981,,,
153,400000,3540,4,4,1,3,1,1980,2,18012,,,
154,395000,3045,4,3,1,1,0,1991,2,34356,,,
155,395000,4150,4,3,0,3,0,1934,2,21778,,,
156,296000,1778,2,2,1,2,0,1991,2,24022,,,
157,387500,2412,2,3,1,3,0,1986,2,22676,,,
158,353000,2668,4,3,1,2,0,1978,2,18384,,,
159,350000,2274,4,3,1,3,0,1986,2,22049,,,
160,437632,2936,4,3,1,3,0,1980,2,22844,,,
161,447500,2526,2,2,1,0,0,1996,2,28248,,,
162,318500,2449,4,4,1,2,0,1985,2,22075,,,
163,352000,3131,4,4,1,2,0,1988,2,15209,,,
164,295000,2536,3,3,1,3,0,1987,2,39427,,,
165,313500,3314,2,3,1,3,0,1984,2,24339,,,
166,330000,2230,3,2,1,2,0,1986,2,24798,,,
167,400000,2631,4,4,0,2,0,1985,2,44885,,,
168,325000,2638,4,3,1,2,0,1978,2,25747,,,
169,340000,2756,4,3,1,2,1,1973,2,22546,,,
170,399900,3262,5,4,1,2,0,1978,2,25541,,,
171,249900,1936,4,4,1,3,0,1987,2,12850,,,
172,389000,3148,4,4,1,3,1,1969,2,16587,,,
173,364500,2616,3,4,1,2,0,1977,2,32655,,,
174,357500,3630,4,3,1,2,0,1969,2,23283,,,
175,295000,1954,3,3,1,3,1,1962,2,19300,,,
176,274500,1926,5,3,1,2,0,1986,2,26418,,,
177,259000,2556,3,2,1,2,0,1957,2,80886,,,
178,415000,2282,5,4,1,2,0,1987,2,23003,,,
179,443000,3314,3,4,1,3,0,1986,2,22012,,,
180,249000,2001,3,3,1,2,0,1981,2,23812,,,
181,330000,2607,5,2,1,2,0,1976,2,23139,,,
182,291000,2840,4,4,1,2,0,1965,2,23079,,,
183,418000,3036,3,5,0,2,0,1977,2,33746,,,
184,320000,2240,4,2,1,3,0,1974,2,18682,,,
185,264000,1788,3,3,0,2,0,1969,2,18484,,,
186,381000,2620,5,4,1,2,0,1965,2,28093,,,
187,250000,1480,3,3,1,2,0,1984,2,14230,,,
188,360000,2588,3,3,1,2,1,1968,2,19004,,,
189,369500,3138,4,4,1,2,0,1969,2,18190,,,
190,285400,2460,5,4,1,2,0,1979,2,27492,,,
191,409000,3566,4,4,1,2,0,1976,2,18044,,,
192,333000,2692,5,4,1,3,0,1984,2,22020,,,
193,362000,2958,5,4,1,3,0,1987,2,45200,,,
194,387500,3164,4,4,1,2,1,1966,2,23856,,,
195,239000,2058,3,3,1,2,0,1969,2,21046,,,
196,299900,2717,3,4,1,2,0,1983,2,22083,,,
197,335000,2920,4,3,1,3,0,1987,2,22434,,,
198,275000,2554,5,3,1,2,0,1960,2,21820,,,
199,328000,2805,3,4,1,2,0,1988,2,22582,,,
301,171500,1681,3,2,1,1,0,1957,2,15985,,,
302,180000,1726,3,2,1,2,0,1962,2,26769,,,
303,204000,1910,3,2,1,2,0,1958,2,15423,,,
304,307000,2664,4,3,1,2,0,1962,2,22684,,,
305,265000,2116,3,3,1,2,0,1976,2,33344,,,
306,209900,2030,3,3,1,2,0,1959,2,21914,,,
307,173000,1940,3,2,0,2,0,1956,2,11610,,,
308,189000,1676,3,3,0,2,0,1965,2,21780,,,
309,222500,2120,3,2,1,2,1,1959,2,17883,,,
310,265000,2152,4,3,1,2,0,1987,2,26075,,,
311,264670,1984,4,3,1,2,0,1966,2,31204,,,
312,200750,1575,3,3,1,2,0,1957,2,25543,,,
313,227900,1798,3,3,1,2,0,1978,2,17820,,,
314,255000,2017,3,1,0,1,0,1958,2,86571,,,
315,208500,1904,3,3,1,2,0,1978,2,15559,,,
316,226900,1718,3,3,1,2,0,1976,2,49613,,,
317,215000,1776,4,2,0,1,0,1980,2,22839,,,
318,222950,2609,4,3,1,2,0,1961,2,26087,,,
319,239900,2226,3,3,1,2,0,1955,2,13520,,,
320,176000,1556,2,1,1,3,0,1959,2,15623,,,
321,228000,1764,2,2,1,2,0,1985,2,8105,,,
322,204900,1626,3,3,1,2,1,1968,2,15288,,,
323,258000,2012,5,3,1,2,0,1967,2,21303,,,
324,241850,2090,4,4,1,2,0,1963,2,22010,,,
325,198500,2192,4,2,1,2,0,1963,2,22851,,,
326,243000,2228,4,4,1,2,0,1965,2,21881,,,
327,187000,1825,4,2,1,2,0,1963,2,15810,,,
328,233000,2132,4,3,1,2,0,1966,2,17159,,,
329,205000,2160,3,2,1,2,0,1983,2,16555,,,
330,205000,1974,3,2,1,2,0,1954,2,26196,,,
331,189000,1696,3,3,1,2,0,1968,2,31851,,,
332,204900,2132,3,3,1,2,0,1969,2,23986,,,
333,239000,1814,4,3,1,2,1,1979,2,24698,,,
334,193000,1796,3,2,1,2,0,1963,2,29281,,,
335,260000,2268,5,3,1,2,0,1971,2,35240,,,
336,188000,1719,2,3,1,2,0,1960,2,22009,,,
337,190500,1704,3,2,1,2,0,1984,2,22583,,,
338,230000,2142,3,2,1,2,0,1959,2,22223,,,
339,240000,1705,4,2,1,2,0,1972,2,42322,,,
340,235000,1752,4,3,1,2,0,1978,2,39267,,,
341,275000,2554,5,3,1,2,1,1966,2,22381,,,
342,205000,1650,3,2,1,2,0,1965,2,27235,,,
343,280000,2816,5,3,1,2,0,1946,2,29109,,,
344,190000,1919,3,4,1,2,0,1938,2,20093,,,
345,232500,2080,3,2,1,2,0,1968,2,32021,,,
346,259500,2108,4,4,1,2,0,1978,2,24685,,,
347,275000,2480,3,3,1,2,0,1964,2,22144,,,
348,183900,1746,3,2,1,2,0,1974,2,52136,,,
349,290000,2703,3,3,0,4,0,1963,2,43599,,,
350,217950,1640,4,2,1,2,0,1979,2,21314,,,
351,220000,2196,4,3,1,2,0,1972,2,17899,,,
352,185000,1701,3,2,1,1,0,1982,2,21938,,,
353,288000,2250,3,2,1,2,0,1949,2,23684,,,
354,197500,2502,4,2,1,2,0,1964,2,23749,,,
355,179975,1762,4,3,1,2,0,1959,2,15742,,,
356,195000,2016,4,3,1,2,0,1963,2,18102,,,
357,228400,1904,3,3,1,2,1,1976,2,14945,,,
358,194750,1652,5,2,1,2,0,1960,2,24644,,,
359,195000,2042,4,3,0,2,0,1963,2,21849,,,
360,210000,2019,4,3,1,3,0,1960,2,14837,,,
361,239550,2791,5,3,1,3,0,1946,2,22863,,,
362,242000,2514,4,3,1,1,0,1953,2,17535,,,
363,185000,1746,3,2,1,2,0,1984,2,12386,,,
364,175000,1930,3,2,1,2,0,1956,2,15923,,,
365,165000,1552,3,1,1,3,0,1959,2,27068,,,
366,185000,1566,4,2,1,2,0,1993,2,13504,,,
367,173194,1669,3,2,1,2,0,1964,2,24643,,,
368,205150,1814,3,3,1,2,0,1978,2,18714,,,
369,214200,1794,3,3,1,3,0,1976,2,24308,,,
370,182500,1691,3,2,1,2,1,1968,2,21961,,,
371,205000,1834,4,3,1,2,0,1959,2,30726,,,
372,208000,1984,5,3,1,2,0,1961,2,22047,,,
373,225000,1966,4,3,1,2,0,1962,2,24871,,,
374,170000,1669,3,2,1,2,0,1967,2,21253,,,
375,216000,2132,4,3,1,2,0,1976,2,41332,,,
376,180000,2007,4,3,1,2,0,1959,2,15992,,,
377,169200,1964,4,2,1,2,0,1964,2,18162,,,
378,213000,2325,4,3,1,3,0,1973,2,16699,,,
379,210000,2196,4,3,1,2,0,1965,2,29329,,,
380,185000,2061,3,2,1,2,0,1956,2,25379,,,
381,179900,1828,3,2,1,2,0,1956,2,37150,,,
382,196000,1956,4,3,1,2,0,1968,2,20486,,,
383,219900,1852,6,3,1,2,0,1968,2,20800,,,
384,159900,1795,1,2,1,2,0,1980,2,26467,,,
385,170000,1580,2,1,0,1,0,1950,3,10799,,,
386,169900,1708,3,1,0,1,0,1950,3,11413,,,
387,189500,1700,4,2,0,2,0,1953,3,14023,,,
388,195000,1742,1,1,1,2,0,1961,3,18250,,,
389,215000,1890,4,2,1,2,0,1961,3,22110,,,
390,171000,1512,2,1,0,1,0,1956,3,14774,,,
391,179900,1840,3,1,0,2,0,1953,3,40832,,,
392,120000,1060,2,1,0,2,0,1947,3,15001,,,
393,175000,1540,3,2,0,2,0,1957,3,45458,,,
394,232900,1550,4,2,1,2,1,1962,3,14998,,,
395,229900,2787,4,2,1,1,0,1922,3,39558,,,
396,174900,1528,2,2,1,2,0,1982,3,25193,,,
397,168900,1928,2,2,0,2,0,1941,3,26393,,,
398,229500,2329,3,2,1,2,0,1960,3,28179,,,
399,236000,1940,4,3,1,2,0,1959,3,15073,,,
400,205500,2114,5,2,1,2,0,1966,3,14526,,,
401,212000,1799,3,2,1,2,0,1962,3,16210,,,
402,205000,1864,3,2,1,2,0,1940,3,25628,,,
403,193000,1581,3,2,1,2,0,1956,3,15064,,,
404,180000,1652,3,2,1,2,0,1959,3,21875,,,
405,184000,1592,4,2,0,2,0,1977,3,25943,,,
406,144900,1520,3,1,0,1,0,1953,3,36359,,,
407,255000,1792,2,2,1,2,0,1955,3,31257,,,
408,137000,1464,2,1,0,1,0,1957,3,14999,,,
409,178000,1702,3,2,0,2,0,1961,3,21898,,,
410,296000,2180,3,2,1,2,0,1952,3,29617,,,
411,186500,1486,2,2,1,2,0,1958,3,18479,,,
412,170000,1364,2,1,0,2,0,1942,3,26369,,,
413,219000,1540,4,2,1,2,0,1977,3,30691,,,
414,188000,1608,4,2,1,2,0,1969,3,19380,,,
415,195250,1668,3,1,1,2,0,1956,3,17060,,,
416,175000,1944,3,2,1,2,0,1951,3,43562,,,
417,215000,1883,4,2,1,2,1,1956,3,19932,,,
418,197500,2215,4,1,0,2,0,1948,3,25540,,,
419,249900,1916,2,2,1,2,0,1954,3,20576,,,
420,180000,1508,2,2,1,2,0,1959,3,32469,,,
421,174900,1809,3,1,1,2,0,1958,3,16782,,,
422,189900,1958,4,3,0,2,0,1935,3,22788,,,
423,154000,1592,2,1,1,2,0,1951,3,10332,,,
424,150000,1636,2,1,1,2,0,1950,3,10000,,,
425,189900,1800,3,2,0,2,0,1964,3,13566,,,
426,157000,1600,3,1,0,2,0,1950,3,10807,,,
427,182000,1550,3,1,1,2,0,1966,3,15100,,,
428,187650,1578,3,1,1,2,0,1958,3,14631,,,
429,175000,1644,3,1,1,2,0,1956,3,12999,,,
430,189900,1556,3,2,1,1,0,1959,3,19840,,,
431,175000,1672,3,1,1,2,0,1949,3,22617,,,
432,159900,1650,2,2,1,1,0,1957,3,14997,,,
433,184900,1676,3,2,0,2,0,1956,3,16156,,,
434,174900,1960,2,2,0,2,0,1947,3,16953,,,
435,143000,1649,3,1,1,1,0,1951,3,20096,,,
436,164900,1728,3,1,1,1,0,1950,3,10999,,,
437,173500,1586,3,2,1,1,0,1958,3,15862,,,
438,161800,1592,2,1,0,1,0,1951,3,18686,,,
439,148000,1514,2,2,1,1,0,1964,3,16209,,,
440,177000,1952,4,2,1,2,0,1963,3,24377,,,
441,149900,1550,3,1,1,2,0,1956,3,14311,,,
442,170000,1544,2,2,0,1,0,1957,3,14942,,,
443,142000,1566,3,1,0,1,0,1959,3,15228,,,
444,186900,1650,3,2,1,2,0,1961,3,22000,,,
445,152900,1392,2,2,0,2,0,1951,3,29199,,,
446,350000,2981,5,4,1,2,0,1950,3,49756,,,
447,130000,1412,2,1,0,1,0,1940,3,16752,,,
448,167900,2180,4,2,0,2,0,1948,3,15001,,,
449,184900,1704,2,2,1,2,0,1954,3,16759,,,
450,178000,1600,3,2,1,2,0,1957,3,15090,,,
451,111000,1276,3,2,0,1,0,1951,3,11554,,,
452,207000,1666,4,2,0,1,0,1954,3,39523,,,
453,190000,1760,3,2,1,2,0,1974,3,20193,,,
454,230000,1836,3,2,0,2,0,1946,3,46339,,,
455,165000,1636,3,1,0,2,0,1953,3,20125,,,
456,210000,1748,3,2,1,2,0,1957,3,14512,,,
457,226000,2556,4,2,0,2,0,1923,3,36276,,,
458,149900,1511,4,1,1,1,0,1954,3,14821,,,
459,155000,1524,3,2,1,2,0,1958,3,21875,,,
460,219900,1821,4,2,1,2,0,1956,3,16696,,,
461,132000,1596,1,1,0,0,0,1940,3,28357,,,
462,195000,2392,4,2,0,2,0,1960,3,30265,,,
463,155900,1748,2,1,1,2,0,1956,3,16231,,,
464,119900,1384,2,1,0,0,0,1949,3,30002,,,
465,175000,1628,3,1,1,2,1,1957,3,17069,,,
466,304000,1911,4,2,1,2,0,1953,3,86248,,,
467,190000,1624,4,3,0,1,0,1959,3,15002,,,
468,229100,1956,3,2,1,2,1,1984,3,14710,,,
469,187500,2012,4,2,0,2,0,1953,3,14925,,,
470,173000,1590,2,2,1,2,0,1956,3,22336,,,
471,170000,1687,2,1,1,1,0,1941,3,20925,,,
472,179000,1816,4,1,1,2,0,1956,3,16508,,,
473,162500,1622,3,1,1,1,0,1956,3,16120,,,
474,172000,1604,4,2,1,2,0,1954,3,14964,,,
475,153200,1592,4,2,0,1,0,1956,3,16396,,,
476,220000,1922,3,2,1,2,0,1952,3,33579,,,
477,174000,1892,3,1,1,1,0,1955,3,14712,,,
478,200000,1628,3,1,1,2,0,1959,3,15412,,,
479,161000,1644,2,2,1,2,0,1956,3,17030,,,
480,135000,1450,3,1,1,2,0,1955,3,15868,,,
481,190000,1592,3,2,1,2,0,1959,3,22748,,,
482,153800,1654,2,1,0,2,0,1962,3,25874,,,
483,144900,1388,2,1,1,2,0,1950,3,10568,,,
484,165000,1670,3,2,0,2,0,1953,3,18525,,,
485,186000,1953,3,2,1,1,0,1956,3,17129,,,
486,167000,2008,3,1,1,2,0,1963,3,21860,,,
487,189600,1650,3,2,1,2,0,1960,3,34724,,,
488,170000,1578,3,1,1,2,0,1975,3,22485,,,
489,189500,1618,3,2,1,2,0,1962,3,27539,,,
490,153500,1642,3,1,0,2,0,1959,3,14901,,,
491,159900,2008,1,2,1,2,0,1941,3,31657,,,
492,158000,1604,3,2,1,1,0,1960,3,23534,,,
493,175000,2035,4,2,1,3,0,1962,3,20131,,,
494,147000,1534,3,2,0,1,0,1955,3,15361,,,
495,155000,1624,2,2,1,2,0,1955,3,16721,,,
496,150000,1700,4,2,1,1,0,1954,3,15391,,,
497,165000,1630,3,2,1,2,0,1978,3,24963,,,
498,147000,1526,3,2,1,1,0,1957,3,15007,,,
499,146250,1672,3,1,1,2,0,1949,3,22617,,,
500,177500,1588,4,2,1,2,0,1980,3,21925,,,
501,153650,1752,4,2,1,2,0,1950,3,9126,,,
502,199500,1674,4,2,0,2,0,1947,3,33237,,,
503,186000,1980,3,1,0,1,0,1927,3,47679,,,
504,139900,1396,1,1,0,2,0,1950,3,25879,,,
505,160000,1178,1,1,0,2,0,1959,3,9941,,,
506,125000,1263,2,2,0,0,0,1955,3,12357,,,
507,359900,2377,5,2,1,2,0,1937,3,51005,,,
508,184500,1304,3,1,1,2,0,1951,3,21305,,,
509,155000,1340,3,1,0,0,0,1952,3,5666,,,
510,150000,1559,2,1,0,2,0,1952,3,23999,,,
511,146000,1412,1,2,1,0,0,1920,3,4560,,,
512,129000,1198,2,2,1,2,0,1925,3,20918,,,
513,145000,1424,2,1,1,2,0,1947,3,16414,,,
514,200000,1370,4,1,0,1,0,1925,3,8000,,,
515,149900,1584,3,2,1,2,0,1957,3,13514,,,
516,132000,1567,2,1,1,1,0,1934,3,12249,,,
517,136900,1409,2,1,0,1,0,1951,3,28421,,,
518,137000,1655,2,1,0,1,0,1935,3,54651,,,
519,185000,1944,3,2,1,2,0,1939,3,17999,,,
520,133500,1922,3,1,0,2,0,1950,3,14805,,,
521,124000,1480,3,2,1,2,0,1953,3,28351,,,
522,95500,1184,2,1,0,1,0,1951,3,14786,,,
